sample	integrated_mtbc_status	mtbc_support_source	kraken_mtbc_supported	kraken_species	kraken_mtbc_reads	mtbc_percent	tbprofiler_lineage_status	tbprofiler_main_lineage	tbprofiler_sub_lineage	lineage_group	resistance_profile	drug_resistance_detected	resistant_drugs	mean_depth	selected_for_phylogeny	included_in_tree	selection_basis	tbprofiler_status
ERR10112879	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	693245	98.85	Resolved by TB-Profiler	lineage2	lineage2.2.2	L2	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, streptomycin, ethionamide, isoniazid, pyrazinamide, ethambutol	44.47	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR10112899	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	877048	98.86	Resolved by TB-Profiler	lineage4	lineage4.1.1.3	L4	MDR-TB	YES	rifampicin, isoniazid, pyrazinamide, ethambutol, streptomycin	56.16	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR10112906	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	665256	98.73	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, streptomycin, ethionamide, isoniazid, pyrazinamide	41.58	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR108149	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1689702	98.94	Resolved by TB-Profiler	lineage4	lineage4.4.1.1	L4	No resistance detected by TB-Profiler	NO	None reported	74.78	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR108155	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1675557	98.88	Resolved by TB-Profiler	lineage2	lineage2.2.1.1	L2	No resistance detected by TB-Profiler	NO	None reported	74.20	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR14370745	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1312638	97.88	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, ethionamide, isoniazid, pyrazinamide, ethambutol	54.85	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR14370807	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1147688	99.33	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, streptomycin, isoniazid, pyrazinamide, ethambutol	73.72	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR14370882	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	2187863	99.63	Resolved by TB-Profiler	lineage4	lineage4.1.1.3	L4	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, streptomycin, capreomycin, isoniazid, pyrazinamide, kanamycin, ethambutol, ethionamide	86.67	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR14985255	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1523619	77.48	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, ethionamide, isoniazid, ethambutol	96.05	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR14985278	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1677844	91.52	Resolved by TB-Profiler	lineage4	lineage4.8	L4	MDR-TB	YES	rifampicin, isoniazid	107.82	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR15827596	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1336453	98.30	Resolved by TB-Profiler	lineage2;lineage4	lineage2.2.1.1;lineage4.1.1.3	L2	No resistance detected by TB-Profiler	NO	None reported	74.74	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR15827597	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	824663	94.51	Resolved by TB-Profiler	lineage2;lineage4	lineage2.2.1.1;lineage4.1.1.3	L2	No resistance detected by TB-Profiler	NO	None reported	50.16	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR1633838	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1227839	98.32	Resolved by TB-Profiler	lineage4	lineage4.1.2	L4	No resistance detected by TB-Profiler	NO	None reported	43.26	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR1633859	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1288805	99.00	Resolved by TB-Profiler	lineage2;lineage3	lineage2.2.1;lineage3	L2	No resistance detected by TB-Profiler	NO	None reported	38.95	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16708478	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	965789	99.24	Resolved by TB-Profiler	lineage2	lineage2.2.1.1	L2	RR-TB	YES	rifampicin	59.71	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16708641	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	632500	98.91	Resolved by TB-Profiler	lineage4	lineage4.3.2.1	L4	RR-TB	YES	rifampicin	34.07	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16708648	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	433658	98.80	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, bedaquiline, clofazimine, streptomycin, ethionamide, isoniazid, pyrazinamide	23.18	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16708726	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1122869	98.89	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, ethionamide, isoniazid	68.01	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16708840	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1267244	98.44	Resolved by TB-Profiler	lineage4	lineage4.3.4.2.1	L4	MDR-TB	YES	rifampicin, isoniazid, pyrazinamide, ethambutol	77.20	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16708843	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1375232	98.78	Resolved by TB-Profiler	lineage2	lineage2.2.1.1	L2	RR-TB	YES	rifampicin	83.71	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16708861	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1141140	98.23	Resolved by TB-Profiler	lineage4	lineage4.3.2.1	L4	RR-TB	YES	rifampicin	68.52	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16708876	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	948068	99.11	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, streptomycin, ethionamide, isoniazid, pyrazinamide	56.85	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16709394	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	960096	98.70	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, ethionamide, isoniazid, pyrazinamide, ethambutol	58.05	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16709396	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1146862	99.00	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	RR-TB	YES	rifampicin	69.24	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16709409	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1129208	98.58	Resolved by TB-Profiler	lineage2	lineage2.2.2	L2	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, streptomycin, ethionamide, isoniazid, pyrazinamide, ethambutol	67.58	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16834572	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	890204	98.96	Resolved by TB-Profiler	lineage2	lineage2.2.1.1	L2	RR-TB	YES	rifampicin	54.30	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16915220	MTBC supported	Kraken2/Bracken	YES	Mycobacterium avium	359163	37.29	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Not resolved by TB-Profiler	MDR-TB	YES	rifampicin, ethionamide, isoniazid, pyrazinamide, ethambutol	24.41	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage not resolved	success
ERR16915221	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1175596	99.10	Resolved by TB-Profiler	lineage2	lineage2.2.1.1	L2	RR-TB	YES	rifampicin	72.44	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16950335	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	966991	99.03	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, ethionamide, isoniazid	58.31	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR16950355	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1070374	98.97	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, ethionamide, isoniazid, pyrazinamide, ethambutol	63.61	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR17036257	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1342742	98.96	Resolved by TB-Profiler	lineage2	lineage2.2.1.1	L2	No resistance detected by TB-Profiler	NO	None reported	81.03	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR17036273	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1419626	98.90	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	RR-TB	YES	rifampicin	83.73	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR17036280	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1084420	98.92	Resolved by TB-Profiler	lineage4	lineage4.3.2.1	L4	No resistance detected by TB-Profiler	NO	None reported	64.50	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR17050895	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1246823	98.90	Resolved by TB-Profiler	lineage4	lineage4.1.1.1	L4	MDR-TB	YES	rifampicin, isoniazid, pyrazinamide, ethambutol	74.82	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR17050897	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	458351	98.96	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, streptomycin, ethionamide, isoniazid, pyrazinamide, ethambutol	27.91	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR17070185	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1106486	99.06	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, streptomycin, ethionamide, isoniazid, pyrazinamide, ethambutol	66.70	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR17070195	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1023848	99.10	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	No resistance detected by TB-Profiler	NO	None reported	60.80	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR17090777	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1363494	98.82	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	RR-TB	YES	rifampicin	80.66	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR17090790	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1069656	98.77	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, bedaquiline, clofazimine, ethionamide, isoniazid, pyrazinamide, ethambutol	63.28	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR17090791	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	980148	98.04	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	RR-TB	YES	rifampicin	58.17	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR7737945	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1248342	98.98	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	RR-TB	YES	rifampicin	80.08	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR8025420	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	932221	99.40	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, streptomycin, isoniazid, pyrazinamide, ethambutol	59.59	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR10869058	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	781992	99.18	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, streptomycin, ethionamide, isoniazid, pyrazinamide, ethambutol	48.94	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR10869317	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	913423	99.41	Resolved by TB-Profiler	lineage4	lineage4.3.4.2.1	L4	MDR-TB	YES	rifampicin, isoniazid	58.25	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR10869318	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	769888	71.20	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	No resistance detected by TB-Profiler	NO	None reported	48.67	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR32132077	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1174421	99.10	Resolved by TB-Profiler	lineage4	lineage4.3.2.1	L4	RR-TB	YES	rifampicin	67.71	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR32132079	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1104335	99.08	Resolved by TB-Profiler	lineage4	lineage4.1.1.3	L4	XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, bedaquiline, clofazimine	62.85	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR32132083	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1417649	99.03	Resolved by TB-Profiler	lineage1	lineage1.1.2	L1	RR-TB	YES	rifampicin, bedaquiline, clofazimine	82.05	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
